Time (s),Channel 0,Channel 1,Channel 2,Channel 5,Channel 16,Channel 17,Channel 18,Channel 20,Channel 27,Channel 29,Channel 30,Channel 31,Channel 44,Channel 47
0.00,70.88,70.89,71.01,70.99,71.47,71.39,71.33,71.27,71.48,71.40,71.43,71.38,71.31,71.23
0.00,70.88,70.90,70.98,71.00,71.47,71.41,71.35,71.26,71.48,71.39,71.41,71.38,71.30,71.21
0.00,70.89,70.91,71.00,71.01,71.47,71.41,71.35,71.26,71.48,71.42,71.42,71.36,71.30,71.21
0.00,70.89,70.92,71.00,71.02,71.46,71.40,71.35,71.29,71.47,71.40,71.42,71.36,71.29,71.23
0.00,70.88,70.90,70.99,71.01,71.47,71.39,71.33,71.28,71.47,71.39,71.44,71.36,71.28,71.23
0.00,70.88,70.91,70.99,71.03,71.45,71.39,71.33,71.30,71.50,71.40,71.44,71.38,71.29,71.23
0.00,70.89,70.91,70.98,71.03,71.47,71.39,71.34,71.30,71.51,71.41,71.42,71.36,71.27,71.23
0.00,70.86,70.91,71.01,71.01,71.48,71.39,71.32,71.32,71.53,71.40,71.41,71.37,71.30,71.24
0.00,70.85,70.91,70.98,71.03,71.47,71.38,71.33,71.30,71.54,71.39,71.42,71.37,71.29,71.22
0.00,70.87,70.90,71.01,71.01,71.47,71.39,71.32,71.30,71.54,71.40,71.40,71.36,71.28,71.24
0.00,70.86,70.92,71.00,71.03,71.49,71.41,71.37,71.32,71.53,71.42,71.41,71.38,71.26,71.26
0.00,70.87,70.88,71.01,71.01,71.48,71.38,71.39,71.32,71.55,71.41,71.41,71.35,71.26,71.25
0.00,70.89,70.89,71.02,71.02,71.51,71.39,71.39,71.33,71.59,71.41,71.41,71.36,71.25,71.24
0.00,70.90,70.88,71.03,71.03,71.51,71.41,71.41,71.35,71.58,71.44,71.42,71.36,71.25,71.27
0.00,70.91,70.86,71.03,71.04,71.54,71.40,71.42,71.32,71.59,71.42,71.40,71.35,71.29,71.27
0.00,70.90,70.88,71.05,71.04,71.55,71.38,71.40,71.34,71.57,71.43,71.41,71.35,71.29,71.27
0.00,70.93,70.88,71.04,71.06,71.56,71.37,71.42,71.32,71.56,71.42,71.42,71.34,71.29,71.30
0.01,70.93,70.86,71.04,71.06,71.54,71.38,71.41,71.34,71.56,71.44,71.39,71.34,71.29,71.29
0.01,70.92,70.86,71.05,71.07,71.55,71.37,71.41,71.34,71.59,71.43,71.40,71.34,71.29,71.30
0.01,70.95,70.90,71.04,71.05,71.54,71.39,71.41,71.34,71.59,71.41,71.42,71.33,71.31,71.29
0.01,70.94,70.89,71.06,71.05,71.55,71.37,71.40,71.33,71.59,71.42,71.42,71.32,71.31,71.30
0.01,70.95,70.88,71.03,71.03,71.56,71.41,71.40,71.32,71.59,71.41,71.41,71.33,71.34,71.30
0.01,70.94,70.91,71.06,71.04,71.53,71.42,71.41,71.31,71.56,71.42,71.41,71.35,71.34,71.29
0.01,70.96,70.91,71.04,71.03,71.51,71.40,71.40,71.32,71.58,71.43,71.42,71.34,71.33,71.31
0.01,70.94,70.92,71.03,71.03,71.53,71.41,71.39,71.30,71.57,71.42,71.44,71.35,71.31,71.30
0.01,70.94,70.95,71.04,71.02,71.52,71.42,71.43,71.29,71.58,71.43,71.47,71.38,71.33,71.29
0.01,70.93,70.96,71.03,71.00,71.51,71.43,71.42,71.31,71.59,71.45,71.46,71.34,71.31,71.28
0.01,70.94,70.95,71.03,70.97,71.51,71.44,71.41,71.31,71.57,71.46,71.45,71.35,71.34,71.29
0.01,70.95,70.95,71.03,70.99,71.50,71.45,71.42,71.32,71.57,71.45,71.46,71.37,71.33,71.30
0.01,70.95,70.96,71.05,70.98,71.49,71.43,71.45,71.32,71.58,71.46,71.47,71.36,71.33,71.29
0.01,70.94,70.95,71.06,71.00,71.51,71.46,71.46,71.36,71.59,71.48,71.48,71.37,71.31,71.30
0.01,70.95,70.97,71.06,70.98,71.49,71.45,71.48,71.34,71.56,71.47,71.48,71.35,71.30,71.32
0.01,70.92,70.98,71.05,71.00,71.49,71.47,71.46,71.37,71.58,71.47,71.47,71.34,71.32,71.29
0.01,70.92,70.96,71.03,71.01,71.50,71.48,71.44,71.36,71.57,71.48,71.46,71.34,71.33,71.27
0.01,70.91,70.95,71.04,70.99,71.51,71.49,71.45,71.36,71.56,71.48,71.46,71.36,71.32,71.29
0.01,70.92,70.95,71.04,71.01,71.50,71.48,71.45,71.38,71.58,71.48,71.48,71.38,71.34,71.30
0.01,70.91,70.96,71.05,71.03,71.49,71.51,71.44,71.39,71.58,71.46,71.46,71.38,71.35,71.29
0.01,70.92,70.97,71.04,71.04,71.49,71.51,71.47,71.38,71.57,71.47,71.47,71.39,71.34,71.27
0.01,70.91,70.96,71.04,71.02,71.52,71.52,71.45,71.39,71.58,71.47,71.47,71.40,71.33,71.27
0.01,70.93,70.94,71.04,71.05,71.52,71.50,71.44,71.36,71.56,71.49,71.46,71.37,71.33,71.26
0.01,70.93,70.94,71.05,71.05,71.51,71.50,71.45,71.36,71.57,71.49,71.45,71.39,71.34,71.26
0.01,70.93,70.94,71.04,71.03,71.55,71.49,71.46,71.35,71.59,71.50,71.46,71.39,71.34,71.24
0.01,70.94,70.93,71.03,71.05,71.54,71.50,71.48,71.36,71.58,71.51,71.45,71.39,71.34,71.28
0.01,70.95,70.91,71.02,71.04,71.55,71.48,71.47,71.37,71.62,71.51,71.46,71.39,71.33,71.29
0.01,70.96,70.94,71.02,71.04,71.54,71.51,71.44,71.35,71.62,71.53,71.48,71.39,71.31,71.29
0.01,70.96,70.94,71.05,71.06,71.54,71.51,71.44,71.36,71.60,71.54,71.47,71.37,71.33,71.28
0.01,70.96,70.93,71.04,71.04,71.55,71.49,71.46,71.35,71.62,71.51,71.49,71.38,71.33,71.31
0.01,70.94,70.95,71.04,71.04,71.55,71.52,71.44,71.35,71.65,71.50,71.49,71.35,71.35,71.30
0.01,70.94,70.94,71.04,71.02,71.57,71.51,71.43,71.37,71.67,71.51,71.49,71.39,71.34,71.33
0.01,70.92,70.94,71.02,71.02,71.58,71.53,71.43,71.37,71.63,71.50,71.48,71.39,71.36,71.31
0.01,70.92,70.95,71.04,71.04,71.57,71.50,71.40,71.37,71.65,71.52,71.46,71.36,71.38,71.32
0.02,70.94,70.95,71.06,71.02,71.55,71.54,71.41,71.38,71.65,71.50,71.50,71.37,71.38,71.31
0.02,70.94,70.94,71.04,71.03,71.56,71.55,71.41,71.38,71.65,71.51,71.49,71.39,71.39,71.32
0.02,70.92,70.93,71.06,71.03,71.57,71.53,71.43,71.38,71.67,71.52,71.50,71.38,71.38,71.32
0.02,70.90,70.94,71.06,71.03,71.59,71.51,71.43,71.37,71.68,71.53,71.49,71.40,71.37,71.34
0.02,70.93,70.96,71.06,71.04,71.59,71.52,71.45,71.37,71.67,71.51,71.51,71.41,71.37,71.34
0.02,70.92,70.95,71.06,71.07,71.62,71.51,71.45,71.37,71.67,71.52,71.48,71.39,71.36,71.34
0.02,70.91,70.97,71.07,71.08,71.60,71.53,71.47,71.37,71.68,71.53,71.51,71.42,71.36,71.34
0.02,70.91,70.98,71.07,71.08,71.61,71.52,71.49,71.37,71.65,71.53,71.48,71.41,71.37,71.34
0.02,70.90,70.97,71.07,71.08,71.60,71.54,71.49,71.37,71.68,71.54,71.52,71.41,71.36,71.34
0.02,70.90,70.96,71.06,71.09,71.62,71.54,71.50,71.38,71.70,71.50,71.53,71.44,71.34,71.34
0.02,70.90,70.96,71.05,71.11,71.59,71.51,71.51,71.36,71.69,71.52,71.53,71.44,71.35,71.37
0.02,70.93,70.97,71.05,71.11,71.58,71.52,71.51,71.38,71.68,71.55,71.54,71.48,71.37,71.36
0.02,70.92,70.96,71.07,71.10,71.59,71.52,71.51,71.37,71.68,71.55,71.50,71.45,71.37,71.35
0.02,70.92,70.97,71.06,71.08,71.58,71.51,71.51,71.38,71.70,71.54,71.54,71.45,71.39,71.36
0.02,70.92,70.98,71.04,71.07,71.59,71.49,71.52,71.39,71.68,71.55,71.54,71.47,71.36,71.37
0.02,70.95,70.96,71.06,71.08,71.60,71.52,71.48,71.38,71.68,71.53,71.54,71.48,71.38,71.37
0.02,70.97,70.96,71.04,71.09,71.60,71.52,71.51,71.39,71.68,71.53,71.53,71.46,71.38,71.38
0.02,70.97,70.96,71.04,71.07,71.62,71.52,71.51,71.39,71.72,71.56,71.55,71.49,71.39,71.40
0.02,70.97,70.95,71.04,71.10,71.62,71.54,71.51,71.39,71.72,71.55,71.54,71.45,71.39,71.39
0.02,71.02,70.98,71.04,71.10,71.65,71.52,71.51,71.39,71.70,71.58,71.53,71.48,71.40,71.39
0.02,71.00,70.98,71.06,71.07,71.65,71.52,71.50,71.41,71.70,71.58,71.54,71.48,71.40,71.40
0.02,70.99,70.98,71.06,71.09,71.65,71.54,71.49,71.42,71.70,71.60,71.55,71.49,71.41,71.41
0.02,71.01,70.97,71.07,71.09,71.64,71.53,71.47,71.41,71.72,71.59,71.56,71.48,71.40,71.40
0.02,71.00,70.97,71.06,71.08,71.67,71.54,71.48,71.44,71.71,71.59,71.55,71.50,71.41,71.38
0.02,71.01,70.96,71.07,71.09,71.66,71.54,71.47,71.43,71.70,71.60,71.54,71.49,71.42,71.39
0.02,71.02,70.96,71.08,71.08,71.67,71.55,71.49,71.45,71.71,71.62,71.55,71.47,71.41,71.39
0.02,71.00,70.98,71.07,71.11,71.66,71.58,71.49,71.44,71.70,71.59,71.55,71.48,71.43,71.39
0.02,71.01,70.97,71.08,71.08,71.65,71.57,71.50,71.46,71.67,71.60,71.54,71.46,71.44,71.39
